Date,GOOGL,AAPL,MSFT
2026-01-14,335.84,259.96,459.38
2026-01-15,332.78,258.21,456.66
2026-01-16,330.00,255.53,459.86
2026-01-20,322.00,246.70,454.52
2026-01-21,328.38,247.65,444.11
2026-01-22,330.54,248.35,451.14
2026-01-23,327.93,248.04,465.95
2026-01-26,333.26,255.41,470.28
2026-01-27,334.55,258.27,480.58
2026-01-28,336.01,256.44,481.63
2026-01-29,338.25,258.28,433.50
2026-01-30,338.00,259.48,430.29
2026-02-02,343.69,270.01,423.37
2026-02-03,339.71,269.48,411.21
2026-02-04,333.04,276.49,414.19
2026-02-05,331.25,275.91,393.67
2026-02-06,322.86,278.12,401.14
2026-02-09,324.32,274.62,413.60
2026-02-10,318.58,273.68,413.27
2026-02-11,310.96,275.50,404.37
2026-02-12,309.00,261.73,401.84
2026-02-13,305.72,255.78,401.32
2026-02-17,302.02,263.88,396.86
2026-02-18,303.33,264.35,399.60
2026-02-19,302.85,260.58,398.46
2026-02-20,314.98,264.58,397.23
2026-02-23,311.49,266.18,384.47
2026-02-24,310.90,272.14,389.00
2026-02-25,312.90,274.23,400.60
2026-02-26,307.38,272.95,401.72
2026-02-27,311.76,264.18,392.74
2026-03-02,306.52,264.72,398.55
2026-03-03,303.58,263.75,403.93
2026-03-04,303.13,262.52,405.20
2026-03-05,300.88,260.29,410.68
2026-03-06,298.52,257.46,408.96
2026-03-09,306.36,259.88,409.41
2026-03-10,307.04,260.83,405.76
2026-03-11,308.70,260.81,404.88
2026-03-12,303.55,255.76,401.86
2026-03-13,302.28,250.12,395.55
2026-03-16,305.56,252.82,399.95
2026-03-17,310.92,254.23,399.41
2026-03-18,307.69,249.94,391.79
2026-03-19,307.13,248.96,389.02
2026-03-20,301.00,247.99,381.87
2026-03-23,302.06,251.49,383.00
2026-03-24,290.44,251.64,372.74
2026-03-25,290.93,252.62,371.04
2026-03-26,280.92,252.89,365.97
2026-03-27,274.34,248.80,356.77
2026-03-30,273.50,246.63,358.96
2026-03-31,287.56,253.79,370.17
2026-04-01,297.39,255.63,369.37
2026-04-02,295.77,255.92,373.46
2026-04-06,299.99,258.86,372.88
2026-04-07,305.46,253.50,372.29
2026-04-08,317.32,258.90,374.33
2026-04-09,318.49,260.49,373.07
2026-04-10,317.24,260.48,370.87
2026-04-13,321.31,259.20,384.37
2026-04-14,332.91,258.83,393.11
2026-04-15,337.12,266.43,411.22
2026-04-16,336.02,263.40,420.26
2026-04-17,341.68,270.23,422.79
2026-04-20,337.42,273.05,418.07
