simulation_id,mean_daily_return,estimated_se,ci_lower,ci_upper,covers_trus_mean,t_statistic,p_value,reject_null,sample_sharpe
134,0.0006657268226966038,0.0006532564776549361,-0.0006208358282215914,0.0019522894736147991,True,1.0190895084369218,0.3091417330052548,False,1.0190895084369218
135,-0.000529393512163479,0.000559114546199836,-0.0016305473733667555,0.0005717603490397975,True,-0.9468426742992764,0.3446295953246349,False,-0.9468426742992764
136,0.0004759065210777558,0.0006344635964036158,-0.0007736442976610103,0.0017254573398165218,True,0.7500927141846712,0.4539013860256644,False,0.750092714184671
137,0.0004060507723998131,0.0006231865656903915,-0.0008212903828680682,0.0016333919276676945,True,0.651571767998518,0.5152735990391111,False,0.6515717679985181
138,0.0004879515237546152,0.0006401742258868643,-0.0007728461526238248,0.001748749200133055,True,0.7622167591621363,0.44664629703179387,False,0.7622167591621364
139,-0.0010900121722951905,0.0006750438354120696,-0.002419484157772372,0.00023945981318199117,True,-1.6147279852275225,0.1076259457739041,False,-1.6147279852275225
140,0.000449005425012038,0.0006153614925176127,-0.0007629245598669336,0.0016609354098910097,True,0.7296612324164673,0.4662776638412524,False,0.7296612324164673
141,-5.0791713331545934e-05,0.0006680830380164627,-0.0013665546851883118,0.00126497125852522,True,-0.07602604832229602,0.9394589363482748,False,-0.07602604832229604
142,0.000723489220142028,0.0006191917317505596,-0.0004959842685669878,0.0019429627088510437,True,1.1684413454562799,0.2437373603126367,False,1.1684413454562803
143,-0.0004062583197418653,0.0006196612741941935,-0.0016266565536186117,0.0008141399141348811,True,-0.6556135370411246,0.5126732794416272,False,-0.6556135370411246
144,-0.0001233627769425071,0.0006337278200666151,-0.0013714645134494177,0.0011247389595644033,True,-0.19466208210575267,0.8458149647641856,False,-0.19466208210575264
145,-2.3722442087487465e-05,0.0006264542167243446,-0.0012574991061031883,0.0012100542219282136,True,-0.03786779856240625,0.9698231878735971,False,-0.03786779856240624
146,0.00022710490924272427,0.0006573359790343576,-0.0010674921573891494,0.0015217019758745978,True,0.34549289326342186,0.7300132255437729,False,0.345492893263422
147,0.0004540942402344885,0.0006356947458270013,-0.0007978812783274059,0.0017060697587963829,True,0.714327502650252,0.4756884638274434,False,0.714327502650252
148,-7.171905428796463e-06,0.0006664631198687823,-0.0013197445129223464,0.0013054007020647535,True,-0.010761143737718774,0.9914225634251884,False,-0.010761143737718776
149,0.0015657422474391366,0.0006545535039434462,0.000276625154832056,0.0028548593400462173,False,2.3920767943431827,0.01748979344663405,True,2.3920767943431827
150,0.0012704507739589776,0.0006605341249669362,-3.0444913887969337e-05,0.0025713464618059246,True,1.9233688706432412,0.055564902068891774,False,1.9233688706432415
